,date,value
437,20201114,765.846154
438,20201115,775.323529
439,20201116,770.896552
440,20201117,768.689655
441,20201118,775.757576
442,20201119,774.571429
443,20201120,776.34375
444,20201121,779.5
445,20201122,774.545455
446,20201123,749.166667
447,20201124,776.0
448,20201125,764.1
449,20201126,768.518519
450,20201127,769.428571
451,20201128,762.227273
452,20201129,717.214286
453,20201130,662.0
454,20201201,735.62963
455,20201202,708.375
456,20201203,752.09375
457,20201204,753.481481
458,20201205,743.0
459,20201206,732.666667
460,20201207,730.8
461,20201208,746.514286
462,20201209,732.222222
463,20201210,746.153846
464,20201211,754.0625
465,20201212,753.333333
466,20201213,734.888889
467,20201214,752.5
468,20201215,755.166667
469,20201216,682.0
470,20201217,738.0
471,20201218,783.333333
472,20201219,787.25
473,20201220,767.173913
474,20201221,781.230769
475,20201222,765.0
476,20201223,775.0
477,20201225,770.0
478,20201226,760.0
479,20201227,800.0
480,20201228,751.25
481,20201229,743.571429
482,20201230,753.333333
483,20201231,600.0
484,20210101,717.791667
485,20210102,771.25
486,20210103,792.5
487,20210104,692.5
488,20210109,791.230769
489,20210110,791.925926
490,20210111,789.846154
491,20210112,794.26087
492,20210113,794.605263
493,20210114,797.891892
494,20210115,799.581395
495,20210116,802.210526
496,20210117,801.351351
497,20210118,799.782609
498,20210119,808.37037
499,20210120,813.432432
500,20210121,866.75
501,20210122,892.26087
502,20210123,888.413793
503,20210124,829.692308
504,20210125,877.90625
505,20210126,891.238095
506,20210127,903.76087
507,20210128,910.894737
508,20210129,917.608696
509,20210130,934.237288
510,20210131,902.232558
511,20210201,900.72093
512,20210202,900.25
513,20210203,903.172414
514,20210204,903.0
515,20210205,925.454545
516,20210206,932.272727
517,20210207,928.86
518,20210208,927.413043
519,20210209,921.368421
520,20210210,953.046875
521,20210211,956.774194
522,20210212,955.892857
523,20210213,954.666667
524,20210214,927.088235
525,20210215,922.516129
526,20210216,919.263158
527,20210217,925.5
528,20210218,930.666667
529,20210219,923.625
530,20210220,927.052632
531,20210221,932.208333
532,20210222,941.052632
533,20210223,938.64
534,20210224,926.551724
535,20210225,929.413793
536,20210226,932.823529
537,20210227,933.5
538,20210228,924.217391
539,20210301,907.227273
540,20210302,872.0
541,20210303,829.517241
542,20210304,830.432432
543,20210305,822.631579
544,20210306,837.40625
545,20210307,852.205128
546,20210308,835.594595
547,20210309,862.636364
548,20210310,879.913043
549,20210311,880.342105
550,20210312,864.166667
551,20210313,863.575758
552,20210314,875.888889
553,20210315,862.038462
554,20210316,827.357143
555,20210317,837.043478
556,20210318,831.911765
557,20210319,844.131579
558,20210320,838.813953
559,20210321,831.82
560,20210322,824.05
561,20210323,812.848485
562,20210324,814.135135
563,20210325,822.065217
564,20210326,820.571429
565,20210327,825.980392
566,20210328,832.051282
567,20210329,819.405405
568,20210330,825.583333
569,20210331,827.615385
570,20210401,821.849057
571,20210402,815.555556
572,20210403,819.714286
573,20210404,808.75
574,20210405,829.514286
575,20210406,819.043478
576,20210407,809.827586
577,20210408,809.107143
578,20210409,825.0
579,20210410,834.375
580,20210411,830.535714
581,20210412,822.0
582,20210413,830.041667
583,20210414,813.222222
584,20210415,816.681818
585,20210416,819.454545
586,20210417,829.666667
587,20210418,845.0
588,20210419,818.235294
589,20210420,826.588235
590,20210421,811.391304
591,20210422,806.555556
592,20210423,784.954545
593,20210424,778.44
594,20210425,757.083333
595,20210426,805.384615
596,20210427,758.833333
597,20210428,762.833333
598,20210429,790.0
599,20210430,770.0
600,20210501,745.882353
601,20210502,712.125
602,20210503,752.333333
603,20210504,731.45
604,20210505,759.588235
605,20210506,735.473684
606,20210507,731.0
607,20210508,729.666667
608,20210509,743.095238
609,20210510,729.086957
610,20210511,748.52381
611,20210512,738.217391
612,20210513,720.333333
613,20210514,735.6
614,20210515,733.8125
615,20210516,762.368421
616,20210517,758.190476
617,20210518,787.647059
618,20210519,800.107143
619,20210520,799.0
620,20210521,782.916667
621,20210522,793.0
622,20210523,792.8
623,20210524,793.333333
624,20210525,794.8
625,20210526,788.785714
626,20210527,790.5
627,20210528,804.078431
628,20210529,808.025641
629,20210530,776.833333
630,20210531,820.0
631,20210601,807.5
632,20210602,826.0
633,20210603,816.8
634,20210604,816.866667
635,20210605,788.64
636,20210606,845.6875
637,20210607,676.833333
638,20210608,782.1
639,20210609,818.533333
640,20210610,845.419355
641,20210611,867.777778
642,20210612,892.142857
643,20210613,867.388889
644,20210614,860.555556
645,20210615,804.533333
646,20210616,857.545455
647,20210617,836.529412
648,20210618,877.266667
649,20210619,885.904762
650,20210620,905.166667
651,20210621,887.111111
652,20210622,889.411765
653,20210623,879.9375
654,20210624,893.119048
655,20210625,896.540541
656,20210626,905.842105
657,20210627,892.787879
658,20210628,865.368421
659,20210629,867.8
660,20210630,878.325581
661,20210701,862.027778
662,20210702,870.111111
663,20210703,872.486486
664,20210704,879.25
665,20210705,867.428571
666,20210706,875.375
667,20210707,869.485714
668,20210708,869.264706
669,20210709,865.194444
670,20210710,852.47619
671,20210711,848.513514
672,20210712,797.259259
673,20210713,831.225806
674,20210714,831.785714
675,20210715,600.0
676,20210716,775.217391
677,20210717,859.354839
678,20210718,863.636364
679,20210719,874.0
680,20210720,857.466667
681,20210721,861.84
682,20210722,873.058824
683,20210723,706.285714
684,20210724,869.25
685,20210725,890.708333
686,20210726,856.105263
687,20210727,880.56
688,20210728,879.571429
689,20210729,878.5625
690,20210730,882.181818
691,20210731,888.947368
692,20210801,823.684211
693,20210802,866.64
694,20210803,871.636364
695,20210804,872.857143
696,20210805,868.333333
697,20210806,874.166667
698,20210807,885.0
699,20210808,881.923077
700,20210809,881.538462
701,20210810,890.714286
702,20210811,885.217391
703,20210812,891.5625
704,20210813,885.925926
705,20210814,899.459459
706,20210815,899.2
707,20210816,891.666667
708,20210817,892.222222
709,20210818,888.333333
710,20210819,885.714286
711,20210820,889.259259
712,20210821,900.294118
713,20210822,899.285714
714,20210823,900.0
715,20210824,892.222222
716,20210825,897.692308
717,20210826,838.181818
718,20210827,890.540541
719,20210828,908.77551
720,20210829,908.536585
721,20210830,891.764706
722,20210831,896.3125
723,20210901,878.695652
724,20210902,883.444444
725,20210903,840.0
726,20210904,899.387097
727,20210905,860.0
728,20210906,908.928571
729,20210907,902.727273
730,20210908,905.833333
731,20210909,845.384615
732,20210910,906.458333
733,20210911,834.166667
734,20210912,882.790698
735,20210913,923.333333
736,20210914,903.823529
737,20210915,910.967742
738,20210916,917.5
739,20210917,876.666667
740,20210918,931.22449
741,20210919,928.333333
742,20210920,924.0
743,20210921,931.111111
744,20210922,923.333333
745,20210923,921.428571
746,20210924,925.833333
747,20210925,929.259259
748,20210926,927.419355
749,20210927,916.666667
750,20210928,921.818182
751,20210929,912.222222
752,20210930,918.0
753,20211001,893.75
754,20211002,905.833333
755,20211003,899.090909
756,20211004,893.333333
757,20211005,891.538462
758,20211006,890.0
759,20211007,898.571429
760,20211008,906.842105
761,20211009,908.222222
762,20211010,900.769231
763,20211011,900.357143
764,20211012,906.0
765,20211013,893.125
766,20211014,905.0
767,20211015,908.571429
768,20211016,908.333333
769,20211017,904.444444
770,20211018,904.285714
771,20211019,900.0
772,20211020,902.857143
773,20211021,894.0
774,20211022,892.857143
775,20211023,901.111111
776,20211024,892.5
777,20211025,895.0
778,20211026,907.692308
779,20211027,900.0
780,20211028,900.0
781,20211029,901.428571
782,20211030,900.30303
783,20211031,898.0
784,20211101,870.0
785,20211102,867.5
786,20211103,843.333333
787,20211104,845.714286
788,20211105,832.857143
789,20211106,850.0
790,20211107,841.111111
791,20211108,822.857143
792,20211109,828.75
793,20211110,839.090909
794,20211111,836.666667
795,20211112,836.666667
796,20211113,835.75
797,20211114,803.333333
798,20211115,824.0
799,20211116,756.666667
800,20211117,798.75
801,20211118,726.25
802,20211119,809.0
803,20211120,801.176471
804,20211121,828.0
805,20211122,818.888889
806,20211123,790.0
807,20211124,800.588235
808,20211125,808.0
809,20211126,812.0
810,20211127,824.390244
811,20211128,825.0
812,20211129,811.25
813,20211130,795.555556
814,20211201,783.333333
815,20211202,799.285714
816,20211203,797.0
817,20211204,768.0
818,20211205,810.0
819,20211206,807.142857
820,20211207,805.714286
821,20211208,801.666667
822,20211209,795.833333
823,20211210,800.540541
824,20211211,802.941176
825,20211212,798.62069
826,20211213,741.25
827,20211214,782.5
828,20211215,786.0
829,20211216,788.333333
830,20211217,790.0
831,20211218,801.538462
832,20211219,803.333333
833,20211220,787.5
834,20211221,780.0
835,20211222,773.333333
836,20211223,771.25
837,20211224,773.333333
838,20211225,787.5
839,20211226,826.666667
840,20211227,775.0
841,20211228,739.230769
842,20211229,772.5
843,20211230,783.846154
844,20211231,812.083333
845,20220101,755.384615
846,20220102,718.0
847,20220103,781.25
848,20220104,786.428571
849,20220105,791.666667
850,20220106,810.0
851,20220107,801.0
852,20220108,777.272727
853,20220109,718.75
854,20220110,745.454545
855,20220111,777.931034
856,20220112,725.0
857,20220113,694.0
858,20220114,733.043478
859,20220115,798.787879
860,20220116,781.891892
861,20220117,739.285714
862,20220118,682.105263
863,20220119,748.571429
864,20220120,776.842105
865,20220121,799.0
866,20220122,802.093023
867,20220123,800.465116
868,20220124,806.060606
869,20220125,807.619048
870,20220126,817.54386
871,20220127,795.918367
872,20220128,825.952381
873,20220129,803.793103
874,20220130,823.939394
875,20220131,829.285714
876,20220201,844.594595
877,20220202,821.875
878,20220203,840.0
879,20220204,847.0
880,20220205,854.2
881,20220206,862.8125
882,20220207,862.5
883,20220208,828.333333
884,20220209,785.714286
885,20220210,839.2
886,20220211,872.162162
887,20220212,899.545455
888,20220213,892.424242
889,20220214,886.0
890,20220215,877.0
891,20220216,881.428571
892,20220217,875.454545
893,20220218,870.0
894,20220219,880.833333
895,20220220,874.285714
896,20220221,872.0
897,20220222,880.0
898,20220223,865.454545
899,20220224,853.333333
900,20220225,869.642857
901,20220226,876.666667
902,20220227,866.923077
903,20220228,856.0
904,20220301,836.428571
905,20220302,840.0
906,20220303,838.333333
907,20220304,841.111111
908,20220305,840.769231
909,20220306,826.363636
910,20220307,810.0
911,20220308,802.0
912,20220309,808.75
913,20220310,805.0
914,20220311,813.571429
915,20220312,831.0
916,20220313,822.5
917,20220314,824.0
918,20220315,826.666667
919,20220316,817.5
920,20220317,824.285714
921,20220318,833.0
922,20220319,812.5
923,20220320,782.0
924,20220321,760.0
925,20220322,794.888889
926,20220323,808.108108
927,20220324,817.058824
928,20220325,841.5625
929,20220326,851.764706
930,20220327,853.0
931,20220328,856.0
932,20220329,864.285714
933,20220330,882.307692
934,20220331,885.142857
935,20220401,872.5
936,20220402,876.25
937,20220403,881.428571
938,20220404,876.923077
939,20220405,884.285714
940,20220406,888.75
941,20220407,892.5
942,20220408,904.0
943,20220409,912.0
944,20220410,910.0
945,20220411,913.333333
946,20220412,928.75
947,20220413,910.0
948,20220414,917.5
949,20220415,926.25
950,20220416,935.714286
951,20220417,931.666667
952,20220418,921.25
953,20220419,921.25
954,20220420,931.25
955,20220421,939.0
956,20220422,946.428571
957,20220423,942.857143
958,20220424,942.222222
959,20220425,930.0
960,20220426,935.714286
961,20220427,930.0
962,20220428,940.0
963,20220429,937.5
964,20220430,930.0
965,20220501,905.0
966,20220502,896.666667
967,20220503,885.0
968,20220504,884.0
969,20220505,900.0
970,20220506,887.142857
971,20220507,877.5
972,20220508,836.666667
973,20220509,842.857143
974,20220510,851.428571
975,20220511,858.0
976,20220512,866.666667
977,20220513,852.0
978,20220514,851.428571
979,20220515,847.5
980,20220516,841.428571
981,20220517,834.0
982,20220518,840.0
983,20220519,840.0
984,20220520,830.0
985,20220521,838.0
986,20220522,837.142857
987,20220523,814.0
988,20220524,806.0
989,20220525,802.5
990,20220526,813.333333
991,20220527,831.818182
992,20220528,845.0
993,20220529,842.222222
994,20220530,825.0
995,20220531,803.333333
996,20220601,806.0
997,20220602,802.5
998,20220603,790.0
999,20220604,812.0
1000,20220605,808.333333
1001,20220606,800.0
1002,20220607,800.0
1003,20220608,803.333333
1004,20220609,810.0
1005,20220610,830.0
1006,20220611,831.0
1007,20220612,825.0
1008,20220613,821.666667
1009,20220614,808.75
1010,20220615,755.0
1011,20220616,789.375
1012,20220617,797.0
1013,20220618,837.5
1014,20220619,831.0
1015,20220620,826.0
1016,20220621,817.0
1017,20220622,805.0
1018,20220623,806.923077
1019,20220624,813.333333
1020,20220625,815.714286
1021,20220626,825.454545
1022,20220627,811.666667
1023,20220628,816.666667
1024,20220629,817.5
1025,20220630,818.571429
1026,20220701,804.285714
1027,20220702,801.25
1028,20220703,781.666667
1029,20220704,795.0
1030,20220705,785.454545
1031,20220706,796.0
1032,20220707,792.857143
1033,20220708,800.0
1034,20220709,812.222222
1035,20220710,811.666667
1036,20220711,805.0
1037,20220712,817.142857
1038,20220713,800.0
1039,20220714,803.75
1040,20220715,811.0
1041,20220716,816.363636
1042,20220717,810.0
1043,20220718,802.0
1044,20220719,804.285714
1045,20220720,815.0
1046,20220721,813.75
1047,20220722,816.25
1048,20220723,816.666667
1049,20220724,812.5
1050,20220725,806.666667
1051,20220726,815.555556
1052,20220727,813.333333
1053,20220728,813.333333
1054,20220729,817.777778
1055,20220730,812.857143
1056,20220731,810.0
1057,20220801,801.6666666666666
1058,20220802,800.0
1059,20220803,801.428571
1060,20220804,817.142857
1061,20220805,817.142857
1062,20220806,828.333333
1063,20220807,820.0
1064,20220808,810.0
1065,20220809,818.75
1066,20220810,836.486486
1067,20220811,832.0
1068,20220812,832.857143
1069,20220813,827.272727
1070,20220814,824.285714
1071,20220815,823.636364
1072,20220816,820.0
1073,20220817,812.0
1074,20220818,807.5
1075,20220819,805.0
1076,20220820,801.25
1077,20220821,792.5
1078,20220822,793.333333
1079,20220823,786.0
1080,20220824,798.75
1081,20220825,737.272727
1082,20220826,796.666667
1083,20220827,780.0
1084,20220828,775.0
1085,20220829,753.333333
1086,20220830,756.0
1087,20220831,775.625
1088,20220901,758.0
1089,20220902,749.090909
1090,20220903,758.888889
1091,20220904,760.0
1092,20220905,771.666667
1093,20220906,795.0
1094,20220907,792.5
1095,20220908,848.75
1096,20220909,826.0
1097,20220910,815.0
1098,20220911,838.0
1099,20220912,802.857143
1100,20220913,801.428571
1101,20220914,775.555556
1102,20220915,763.076923
1103,20220916,777.777778
1104,20220917,783.636364
1105,20220918,780.0
1106,20220919,733.75
1107,20220920,762.857143
1108,20220921,750.0
1109,20220922,767.142857
1110,20220923,784.444444
1111,20220924,717.142857
1112,20220925,754.0
1113,20220926,750.0
1114,20220927,798.75
1115,20220928,810.0
1116,20220929,792.5
1117,20220930,788.333333
1118,20221001,790.0
1119,20221002,790.0
1120,20221003,770.0
1121,20221004,772.5
1122,20221005,776.0
1123,20221006,787.0
1124,20221007,788.461538
1125,20221008,784.0
1126,20221009,801.111111
1127,20221010,790.0
1128,20221011,790.0
1129,20221012,770.0
1130,20221013,772.5
1131,20221014,765.0
1132,20221015,780.0
1133,20221016,772.0
1134,20221017,780.0
1135,20221018,760.0
1136,20221019,773.333333
1137,20221020,792.727273
1138,20221021,784.0
1139,20221022,793.75
1140,20221023,785.0
1141,20221024,790.0
1142,20221025,775.555556
1143,20221026,803.846154
