date,value
20200901,855.0
20200902,851.8333333333334
20200903,848.25
20200904,843.1
20200905,830.5
20200906,842.8
20200907,834.4444444444445
20200908,788.6666666666666
20200909,753.6060606060606
20200910,769.6938775510204
20200911,789.5833333333334
20200912,810.7169811320755
20200913,795.92
20200914,779.4545454545455
20200915,783.421052631579
20200916,801.9047619047619
20200917,822.52
20200918,852.0370370370371
20200919,822.6086956521739
20200920,825.6111111111111
20200921,819.7
20200922,800.0
20200923,798.4117647058823
20200924,833.2352941176471
20200925,845.952380952381
20200926,846.7941176470588
20200927,847.4864864864865
20200928,838.5
20200929,848.4
20200930,843.741935483871
20201001,842.3684210526316
20201002,840.4375
20201003,837.3333333333334
20201004,792.5
20201005,764.55
20201006,797.7777777777778
20201007,805.2142857142857
20201008,800.875
20201009,825.4074074074074
20201010,820.7333333333333
20201011,801.0666666666667
20201012,787.8571428571429
20201013,782.9090909090909
20201014,788.6363636363636
20201015,788.4545454545455
20201016,778.1153846153846
20201017,793.5
20201018,796.5625
20201019,792.769231
20201020,787.857143
20201021,809.037037
20201022,788.047619
20201023,801.809524
20201024,799.942857
20201025,794.0
20201026,800.133333
20201027,755.083333
20201028,798.333333
20201029,778.518519
20201030,801.851852
20201031,808.0
20201101,773.9
20201102,770.705882
20201103,749.666667
20201104,747.571429
20201105,743.384615
20201106,734.736842
20201107,696.111111
20201108,700.684211
20201109,716.880952
20201110,739.859155
20201111,768.894737
20201112,772.0
20201113,796.0
20201114,765.846154
20201115,775.323529
20201116,770.896552
20201117,768.689655
20201118,775.757576
20201119,774.571429
20201120,776.34375
20201121,779.5
20201122,774.545455
20201123,749.166667
20201124,776.0
20201125,764.1
20201126,768.518519
20201127,769.428571
20201128,762.227273
20201129,717.214286
20201130,662.0
20201201,735.62963
20201202,708.375
20201203,752.09375
20201204,753.481481
20201205,743.0
20201206,732.666667
20201207,730.8
20201208,746.514286
20201209,732.222222
20201210,746.153846
20201211,754.0625
20201212,753.333333
20201213,734.888889
20201214,752.5
20201215,755.166667
20201216,682.0
20201217,738.0
20201218,783.333333
20201219,787.25
20201220,767.173913
20201221,781.230769
20201222,765.0
20201223,775.0
20201225,770.0
20201226,760.0
20201227,800.0
20201228,751.25
20201229,743.571429
20201230,753.333333
20201231,600.0
20210101,717.791667
20210102,771.25
20210103,792.5
20210104,692.5
20210109,791.230769
20210110,791.925926
20210111,789.846154
20210112,794.26087
20210113,794.605263
20210114,797.891892
20210115,799.581395
20210116,802.210526
20210117,801.351351
20210118,799.782609
20210119,808.37037
20210120,813.432432
20210121,866.75
20210122,892.26087
20210123,888.413793
20210124,829.692308
20210125,877.90625
20210126,891.238095
20210127,903.76087
20210128,910.894737
20210129,917.608696
20210130,934.237288
20210131,902.232558
20210201,900.72093
20210202,900.25
20210203,903.172414
20210204,903.0
20210205,925.454545
20210206,932.272727
20210207,928.86
20210208,927.413043
20210209,921.368421
20210210,953.046875
20210211,956.774194
20210212,955.892857
20210213,954.666667
20210214,927.088235
20210215,922.516129
20210216,919.263158
20210217,925.5
20210218,930.666667
20210219,923.625
20210220,927.052632
20210221,932.208333
20210222,941.052632
20210223,938.64
20210224,926.551724
20210225,929.413793
20210226,932.823529
20210227,933.5
20210228,924.217391
20210301,907.227273
20210302,872.0
20210303,829.517241
20210304,830.432432
20210305,822.631579
20210306,837.40625
20210307,852.205128
20210308,835.594595
20210309,862.636364
20210310,879.913043
20210311,880.342105
20210312,864.166667
20210313,863.575758
20210314,875.888889
20210315,862.038462
20210316,827.357143
20210317,837.043478
20210318,831.911765
20210319,844.131579
20210320,838.813953
20210321,831.82
20210322,824.05
20210323,812.848485
20210324,814.135135
20210325,822.065217
20210326,820.571429
20210327,825.980392
20210328,832.051282
20210329,819.405405
20210330,825.583333
20210331,827.615385
20210401,821.849057
20210402,815.555556
20210403,819.714286
20210404,808.75
20210405,829.514286
20210406,819.043478
20210407,809.827586
20210408,809.107143
20210409,825.0
20210410,834.375
20210411,830.535714
20210412,822.0
20210413,830.041667
20210414,813.222222
20210415,816.681818
20210416,819.454545
20210417,829.666667
20210418,845.0
20210419,818.235294
20210420,826.588235
20210421,811.391304
20210422,806.555556
20210423,784.954545
20210424,778.44
20210425,757.083333
20210426,805.384615
20210427,758.833333
20210428,762.833333
20210429,790.0
20210430,770.0
20210501,745.882353
20210502,712.125
20210503,752.333333
20210504,731.45
20210505,759.588235
20210506,735.473684
20210507,731.0
20210508,729.666667
20210509,743.095238
20210510,729.086957
20210511,748.52381
20210512,738.217391
20210513,720.333333
20210514,735.6
20210515,733.8125
20210516,762.368421
20210517,758.190476
20210518,787.647059
20210519,800.107143
20210520,799.0
20210521,782.916667
20210522,793.0
20210523,792.8
20210524,793.333333
20210525,794.8
20210526,788.785714
20210527,790.5
20210528,804.078431
20210529,808.025641
20210530,776.833333
20210531,820.0
20210601,807.5
20210602,826.0
20210603,816.8
20210604,816.866667
20210605,788.64
20210606,845.6875
20210607,676.833333
20210608,782.1
20210609,818.533333
20210610,845.419355
20210611,867.777778
20210612,892.142857
20210613,867.388889
20210614,860.555556
20210615,804.533333
20210616,857.545455
20210617,836.529412
20210618,877.266667
20210619,885.904762
20210620,905.166667
20210621,887.111111
20210622,889.411765
20210623,879.9375
20210624,893.119048
20210625,896.540541
20210626,905.842105
20210627,892.787879
20210628,865.368421
20210629,867.8
20210630,878.325581
20210701,862.027778
20210702,870.111111
20210703,872.486486
20210704,879.25
20210705,867.428571
20210706,875.375
20210707,869.485714
20210708,869.264706
20210709,865.194444
20210710,852.47619
20210711,848.513514
20210712,797.259259
20210713,831.225806
20210714,831.785714
20210715,600.0
20210716,775.217391
20210717,859.354839
20210718,863.636364
20210719,874.0
20210720,857.466667
20210721,861.84
20210722,873.058824
20210723,706.285714
20210724,869.25
20210725,890.708333
20210726,856.105263
20210727,880.56
20210728,879.571429
20210729,878.5625
20210730,882.181818
20210731,888.947368
20210801,823.684211
20210802,866.64
20210803,871.636364
20210804,872.857143
20210805,868.333333
20210806,874.166667
20210807,885.0
20210808,881.923077
20210809,881.538462
20210810,890.714286
20210811,885.217391
20210812,891.5625
20210813,885.925926
20210814,899.459459
20210815,899.2
20210816,891.666667
20210817,892.222222
20210818,888.333333
20210819,885.714286
20210820,889.259259
20210821,900.294118
20210822,899.285714
20210823,900.0
20210824,892.222222
20210825,897.692308
20210826,838.181818
20210827,890.540541
20210828,908.77551
20210829,908.536585
20210830,891.764706
20210831,896.3125
20210901,878.695652
20210902,883.444444
20210903,840.0
20210904,899.387097
20210905,860.0
20210906,908.928571
20210907,902.727273
20210908,905.833333
20210909,845.384615
20210910,906.458333
20210911,834.166667
20210912,882.790698
20210913,923.333333
20210914,903.823529
20210915,910.967742
20210916,917.5
20210917,876.666667
20210918,931.22449
20210919,928.333333
20210920,924.0
20210921,931.111111
20210922,923.333333
20210923,921.428571
20210924,925.833333
20210925,929.259259
20210926,927.419355
20210927,916.666667
20210928,921.818182
20210929,912.222222
20210930,918.0
20211001,893.75
20211002,905.833333
20211003,899.090909
20211004,893.333333
20211005,891.538462
20211006,890.0
20211007,898.571429
20211008,906.842105
20211009,908.222222
20211010,900.769231
20211011,900.357143
20211012,906.0
20211013,893.125
20211014,905.0
20211015,908.571429
20211016,908.333333
20211017,904.444444
20211018,904.285714
20211019,900.0
20211020,902.857143
20211021,894.0
20211022,892.857143
20211023,901.111111
20211024,892.5
20211025,895.0
20211026,907.692308
20211027,900.0
20211028,900.0
20211029,901.428571
20211030,900.30303
20211031,898.0
20211101,870.0
20211102,867.5
20211103,843.333333
20211104,845.714286
20211105,832.857143
20211106,850.0
20211107,841.111111
20211108,822.857143
20211109,828.75
20211110,839.090909
20211111,836.666667
20211112,836.666667
20211113,835.75
20211114,803.333333
20211115,824.0
20211116,756.666667
20211117,798.75
20211118,726.25
20211119,809.0
20211120,801.176471
20211121,828.0
20211122,818.888889
20211123,790.0
20211124,800.588235
20211125,808.0
20211126,812.0
20211127,824.390244
20211128,825.0
20211129,811.25
20211130,795.555556
20211201,783.333333
20211202,799.285714
20211203,797.0
20211204,768.0
20211205,810.0
20211206,807.142857
20211207,805.714286
20211208,801.666667
20211209,795.833333
20211210,800.540541
